,count,rate_num,ratio,trace,score,var_fin,learn_time,n_selected,n_pruned
398,8,0,100,False,99.0,0.24653514178681887,190.05,50,50
399,9,0,100,False,56.0,0.0008347248795353983,198.10000000000002,0,100
400,0,1,5,True,47.0,0.0,15.0,0,0
401,1,1,5,True,51.0,0.0,15.0,0,0
402,2,1,5,True,51.0,0.0,15.0,0,0
403,3,1,5,True,57.0,0.0,15.0,0,0
404,4,1,5,True,58.0,0.0,15.0,0,0
405,5,1,5,True,57.0,0.0,15.0,0,0
406,6,1,5,True,48.0,0.0,15.0,0,0
407,7,1,5,True,53.0,0.0,15.0,0,0
408,8,1,5,True,60.0,0.0,15.0,0,0
409,9,1,5,True,63.0,0.0,15.0,0,0
410,0,1,5,False,60.0,0.0,15.0,0,0
411,1,1,5,False,55.0,0.0,15.0,0,0
412,2,1,5,False,54.0,0.0,15.0,0,0
413,3,1,5,False,56.0,0.0,15.0,0,0
414,4,1,5,False,63.0,0.0,15.0,0,0
415,5,1,5,False,42.0,0.0,15.0,0,0
416,6,1,5,False,54.0,0.0,15.0,0,0
417,7,1,5,False,48.0,0.0,15.0,0,0
418,8,1,5,False,51.0,0.0,15.0,0,0
419,9,1,5,False,59.0,0.0,15.0,0,0
420,0,1,10,True,55.0,0.0,15.0,0,0
421,1,1,10,True,48.0,0.0,15.0,0,0
422,2,1,10,True,45.0,0.0,15.0,0,0
423,3,1,10,True,48.0,0.0,15.0,0,0
424,4,1,10,True,59.0,0.0,15.0,0,0
425,5,1,10,True,47.0,0.0,15.0,0,0
426,6,1,10,True,59.0,0.0,15.0,0,0
427,7,1,10,True,66.0,0.0,15.0,0,0
428,8,1,10,True,54.0,0.0,15.0,0,0
429,9,1,10,True,59.0,0.0,15.0,0,0
430,0,1,10,False,60.0,0.0,15.0,0,0
431,1,1,10,False,55.0,0.0,15.0,0,0
432,2,1,10,False,65.0,0.0,15.0,0,0
433,3,1,10,False,59.0,0.0,15.0,0,0
434,4,1,10,False,61.0,0.0,15.0,0,0
435,5,1,10,False,51.0,0.0,15.0,0,0
436,6,1,10,False,54.0,0.0,15.0,0,0
437,7,1,10,False,61.0,0.0,15.0,0,0
438,8,1,10,False,54.0,0.0,15.0,0,0
